Swat_Edit (Swat Parameters Editor 2012) Version 2.5.9.2

________________________________________________________________________________________________________________________________________________________________________________________________________


r__SOL_AWC(1).sol  0.371300000000000

Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000090001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000090002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000100001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '64.406400'  Original: '80'  Old: '64.374170' }  |  File: '000100002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000110001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000110002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000120001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000130001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '64.406400'  Original: '80'  Old: '64.374170' }  |  File: '000130002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000140001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000140002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000150001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000150002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '64.406400'  Original: '80'  Old: '64.374170' }  |  File: '000150003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000160001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000160002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000170001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000180001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000190001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000190002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000200001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000200002.mgt'  |  Line: '11'

Modified Values:  38 in 38 files

________________________________________________________________________________________________________________________________________________________________________________________________________


v__ALPHA_BF.gw  4.251500000000000E-004

Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000010001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000010002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000020001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000020002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000030001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000030002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000040001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000040002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000050001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000050002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000060001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000060002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000070001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000080001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000080002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000080003.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000090001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000090002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000100001.gw'  |  Line: '5'
