Stname       L95PPU             U95PPU 
H-SW_3.txt        24.079100          25.306139       
H-SW_3.txt        20.706779          21.529167       
H-SW_3.txt        26.633480          28.551771       
H-SW_3.txt        25.588980          27.085770       
H-SW_3.txt        36.892109          67.406342       
H-SW_3.txt        29.396391          59.672794       
H-SW_3.txt        1.040660           30.128927       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        5.837010           5.837948        
H-SW_3.txt        8.848089           8.856492        
H-SW_3.txt        27.435928          29.115376       
H-SW_3.txt        47.962318          56.790665       
H-SW_3.txt        42.073479          50.916821       
H-SW_3.txt        31.985140          40.703049       
H-SW_3.txt        32.949520          43.387791       
H-SW_3.txt        23.986420          32.824135       
H-SW_3.txt        0.056660           5.360035        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        1.766010           1.767880        
H-SW_3.txt        1.407010           1.408890        
H-SW_3.txt        20.551561          21.634903       
H-SW_3.txt        42.723789          48.417774       
H-GW_RCHG_1.txt        0.017900           0.373200        
H-GW_RCHG_1.txt        0.028710           0.348480        
H-GW_RCHG_1.txt        0.041690           0.384860        
H-GW_RCHG_1.txt        0.285580           2.836640        
H-GW_RCHG_1.txt        0.294182           1.845890        
H-GW_RCHG_1.txt        0.256833           1.044500        
H-GW_RCHG_1.txt        0.228457           0.633410        
H-GW_RCHG_1.txt        0.199620           0.440660        
H-GW_RCHG_1.txt        0.166710           0.324030        
H-GW_RCHG_1.txt        0.130490           0.269060        
H-GW_RCHG_1.txt        0.074670           0.229980        
H-GW_RCHG_1.txt        0.045830           0.216020        
H-GW_RCHG_1.txt        0.026840           0.197960        
H-GW_RCHG_1.txt        0.015070           0.205510        
H-GW_RCHG_1.txt        0.227820           1.567780        
H-GW_RCHG_1.txt        0.387932           10.008889       
H-GW_RCHG_1.txt        0.406743           8.119390        
H-GW_RCHG_1.txt        0.359177           4.578290        
H-GW_RCHG_1.txt        0.333297           3.195770        
H-GW_RCHG_1.txt        0.300573           2.405960        
H-GW_RCHG_1.txt        0.263390           1.777980        
H-GW_RCHG_1.txt        0.248780           1.516640        
H-GW_RCHG_1.txt        0.216887           1.297380        
H-GW_RCHG_1.txt        0.197623           1.204910        
H-GW_RCHG_1.txt        0.131310           1.079830        
H-GW_RCHG_1.txt        0.244913           1.332820        
H-GW_RCHG_1.txt        0.293428           5.132020        
H-GW_RCHG_1.txt        0.286123           3.670571        
H-GW_RCHG_1.txt        0.315033           3.295090        
H-GW_RCHG_1.txt        0.297697           1.881370        
H-GW_RCHG_1.txt        0.281207           1.182280        
H-GW_RCHG_1.txt        0.254270           0.885330        
H-GW_RCHG_1.txt        0.223533           0.649800        
H-GW_RCHG_1.txt        0.204257           0.553610        
H-GW_RCHG_1.txt        0.133840           0.474240        
H-GW_RCHG_1.txt        0.082820           0.434260        
H-GW_RCHG_1.txt        0.049650           0.385450        
H-GW_RCHG_1.txt        0.027130           0.315090        
H-GW_RCHG_1.txt        0.024370           0.337780        
H-GW_RCHG_1.txt        0.016390           0.331660        
H-GW_RCHG_1.txt        0.016190           0.401670        
H-GW_RCHG_1.txt        0.011010           0.379930        
H-GW_RCHG_1.txt        0.007470           0.326710        
H-GW_RCHG_1.txt        0.004880           0.272720        
H-GW_RCHG_1.txt        0.003320           0.219080        
H-GW_RCHG_1.txt        0.003210           0.208740        
H-GW_RCHG_1.txt        0.007500           0.237500        
H-GW_RCHG_1.txt        0.249175           3.653100        
H-GW_RCHG_1.txt        0.497847           13.243223       
H-GW_RCHG_1.txt        0.440867           9.021800        
H-GW_RCHG_1.txt        0.545305           10.221730       
H-GW_RCHG_1.txt        0.569295           10.058869       
H-GW_RCHG_1.txt        0.647470           6.532359        
H-GW_RCHG_1.txt        0.529715           4.731990        
H-GW_RCHG_1.txt        0.450550           3.732400        
H-GW_RCHG_1.txt        0.372435           3.071780        
H-GW_RCHG_1.txt        0.311140           2.624020        
H-GW_RCHG_1.txt        0.256675           2.416550        
H-GW_RCHG_1.txt        0.250060           2.111160        
H-GW_RCHG_1.txt        0.153680           1.944480        
H-GW_RCHG_1.txt        0.091840           1.727240        
H-GW_RCHG_1.txt        0.058530           1.395290        
H-GW_RCHG_1.txt        0.043540           1.381220        
H-GW_RCHG_1.txt        0.028650           1.192450        
H-GW_RCHG_1.txt        0.021760           1.103680        
H-GW_RCHG_1.txt        0.016170           0.961980        
H-GW_RCHG_1.txt        0.012400           0.886600        
H-GW_RCHG_1.txt        0.010370           0.788780        
H-GW_RCHG_1.txt        0.008390           0.695660        
H-GW_RCHG_1.txt        0.004520           0.662760        
H-GW_RCHG_1.txt        0.003140           0.590320        
H-GW_RCHG_1.txt        0.002990           0.556140        
H-GW_RCHG_1.txt        0.002750           0.511500        
H-GW_RCHG_1.txt        0.002375           0.441750        
H-GW_RCHG_1.txt        0.002395           0.445470        
H-GW_RCHG_1.txt        0.002225           0.413850        
H-GW_RCHG_1.txt        0.002190           0.407340        
H-GW_RCHG_1.txt        0.001975           0.367350        
H-GW_RCHG_1.txt        0.001880           0.353440        
H-GW_RCHG_1.txt        0.001730           0.325240        
H-GW_RCHG_1.txt        0.001545           0.290460        
H-GW_RCHG_1.txt        0.001470           0.276360        
H-GW_RCHG_1.txt        0.001310           0.246280        
H-GW_RCHG_1.txt        0.001245           0.234060        
H-GW_RCHG_1.txt        0.001145           0.215260        
H-GW_RCHG_1.txt        0.000970           0.182360        
H-GW_RCHG_1.txt        0.001075           0.202100        
H-GW_RCHG_1.txt        0.000990           0.186120        
H-GW_RCHG_1.txt        0.001015           0.191497        
H-GW_RCHG_1.txt        0.001180           0.219480        
H-GW_RCHG_1.txt        0.001305           0.242730        
H-GW_RCHG_1.txt        0.001120           0.210560        
H-GW_RCHG_1.txt        0.000925           0.173900        
H-GW_RCHG_1.txt        0.000890           0.165540        
H-GW_RCHG_1.txt        0.001050           0.195300        
H-GW_RCHG_1.txt        0.000767           0.213900        
H-GW_RCHG_1.txt        0.000700           0.195300        
H-GW_RCHG_1.txt        0.021075           0.219950        
H-GW_RCHG_1.txt        0.184592           3.707280        
H-GW_RCHG_1.txt        0.205343           5.526410        
H-GW_RCHG_1.txt        0.215440           3.346680        
H-GW_RCHG_1.txt        0.207047           1.906160        
H-GW_RCHG_1.txt        0.195350           1.404650        
H-GW_RCHG_1.txt        0.179163           1.058570        
H-GW_RCHG_1.txt        0.159217           0.775450        
H-GW_RCHG_1.txt        0.150643           0.612420        
H-GW_RCHG_1.txt        0.134025           0.514300        
H-GW_RCHG_1.txt        0.084200           0.470600        
H-GW_RCHG_1.txt        0.049990           0.417070        
H-GW_RCHG_1.txt        0.028350           0.336550        
H-GW_RCHG_1.txt        0.019410           0.333130        
H-GW_RCHG_1.txt        0.011990           0.287070        
H-GW_RCHG_1.txt        0.007790           0.264470        
H-GW_RCHG_1.txt        0.005420           0.228060        
H-GW_RCHG_1.txt        0.004240           0.210320        
H-GW_RCHG_1.txt        0.003000           0.187000        
H-GW_RCHG_1.txt        0.002720           0.160960        
H-GW_RCHG_1.txt        0.001600           0.148800        
H-GW_RCHG_1.txt        0.001380           0.128340        
H-GW_RCHG_1.txt        0.001270           0.118110        
H-GW_RCHG_1.txt        0.000565           0.106220        
H-GW_RCHG_1.txt        0.000470           0.088360        
H-GW_RCHG_1.txt        0.016425           0.095900        
H-GW_RCHG_1.txt        0.040333           0.133000        
H-GW_RCHG_1.txt        0.031330           0.153760        
H-GW_RCHG_1.txt        0.017580           0.124880        
H-GW_RCHG_1.txt        0.010520           0.106720        
H-GW_RCHG_1.txt        0.006440           0.087840        
H-GW_RCHG_1.txt        0.003360           0.070680        
H-GW_RCHG_1.txt        0.002325           0.063100        
H-GW_RCHG_1.txt        0.001325           0.062100        
H-GW_RCHG_1.txt        0.001640           0.120040        
H-GW_RCHG_1.txt        0.000815           0.151590        
H-GW_RCHG_1.txt        0.000635           0.118110        
H-GW_RCHG_1.txt        0.000700           0.130200        
H-GW_RCHG_1.txt        0.000487           0.135780        
H-GW_RCHG_1.txt        0.000657           0.183210        
H-GW_RCHG_1.txt        0.000537           0.149730        
H-GW_RCHG_1.txt        0.000457           0.127410        
H-GW_RCHG_1.txt        0.000377           0.105090        
H-GW_RCHG_1.txt        0.000303           0.084630        
H-GW_RCHG_1.txt        0.000260           0.072540        
H-GW_RCHG_1.txt        0.000227           0.063240        
H-GW_RCHG_1.txt        0.000256           0.119040        
S-SNOW_1.txt        11.224999          11.224999       
S-SNOW_1.txt        43.799995          43.799995       
S-SNOW_1.txt        3.000000           3.000000        
S-SNOW_1.txt        3.800000           3.800000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        26.211000          26.211000       
S-SNOW_1.txt        22.300001          22.300001       
S-SNOW_1.txt        10.510001          10.510001       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        7.893001           7.893001        
S-SNOW_1.txt        24.863003          24.863003       
S-SNOW_1.txt        43.054996          43.054996       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        28.129000          28.129000       
S-SNOW_1.txt        25.875000          25.875000       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        18.025999          18.025999       
S-SNOW_1.txt        37.527004          37.527004       
S-SNOW_1.txt        15.000000          15.000000       
S-SNOW_1.txt        6.200000           6.200000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        3.500000           3.500000        
S-SNOW_1.txt        12.699999          12.699999       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        6.000000           6.000000        
S-SNOW_1.txt        12.025001          12.025001       
S-SNOW_1.txt        6.775001           6.775001        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.925000           2.925000        
S-SNOW_1.txt        40.666000          40.666000       
S-SNOW_1.txt        5.000000           5.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.000000           2.000000        
S-SNOW_1.txt        9.300000           9.300000        
S-SNOW_1.txt        81.338005          81.338005       
S-SNOW_1.txt        13.801001          13.801001       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        5.765000           5.765000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        3.500000           3.500000        
S-SNOW_1.txt        9.982001           9.982001        
S-SNOW_1.txt        8.886001           8.886001        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.200000           2.200000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        5.400001           5.400001        
S-SNOW_1.txt        0.000000           0.000000        
S-PET_1.txt        15.052001          15.052001       
S-PET_1.txt        25.836000          25.836000       
S-PET_1.txt        69.276001          69.276001       
S-PET_1.txt        105.468010         105.468010      
S-PET_1.txt        160.727005         160.727005      
S-PET_1.txt        209.137970         209.137970      
S-PET_1.txt        212.019012         212.019012      
S-PET_1.txt        189.928986         189.928986      
S-PET_1.txt        154.251999         154.251999      
S-PET_1.txt        88.216003          88.216003       
S-PET_1.txt        54.577999          54.577999       
S-PET_1.txt        27.257002          27.257002       
S-PET_1.txt        17.848000          17.848000       
S-PET_1.txt        31.255001          31.255001       
S-PET_1.txt        58.567997          58.567997       
S-PET_1.txt        113.992989         113.992989      
S-PET_1.txt        149.403000         149.403000      
S-PET_1.txt        195.120987         195.120987      
S-PET_1.txt        219.105988         219.105988      
S-PET_1.txt        195.860001         195.860001      
S-PET_1.txt        145.740005         145.740005      
S-PET_1.txt        82.757011          82.757011       
S-PET_1.txt        44.511997          44.511997       
S-PET_1.txt        17.459000          17.459000       
S-PET_1.txt        12.252999          12.252999       
S-PET_1.txt        25.675999          25.675999       
S-PET_1.txt        57.257999          57.257999       
S-PET_1.txt        105.713005         105.713005      
S-PET_1.txt        122.387009         122.387009      
S-PET_1.txt        181.755997         181.755997      
S-PET_1.txt        214.416000         214.416000      
S-PET_1.txt        176.669006         176.669006      
S-PET_1.txt        136.035995         136.035995      
S-PET_1.txt        94.815002          94.815002       
S-PET_1.txt        45.014999          45.014999       
S-PET_1.txt        24.024998          24.024998       
S-PET_1.txt        17.962999          17.962999       
S-PET_1.txt        31.046001          31.046001       
S-PET_1.txt        64.890007          64.890007       
S-PET_1.txt        111.763000         111.763000      
