 H-PET_1.txt
L95PPU             U95PPU         M95PPU
1.766010         1.767880         1.767000       
1.407010         1.408890         1.408250       
20.551561        21.634903        21.539251      
42.723789        48.417774        47.801125      

 H-GW_RCHG_1.txt
L95PPU             U95PPU         M95PPU
0.017900         0.373200         0.220000       
0.028710         0.348480         0.218750       
0.041690         0.384860         0.257625       
0.285580         2.836640         0.820375       
0.294182         1.845890         0.665125       
0.256833         1.044500         0.484750       
0.228457         0.633410         0.387625       
0.199620         0.440660         0.308125       
0.166710         0.324030         0.243625       
0.130490         0.269060         0.210250       
0.074670         0.229980         0.173500       
0.045830         0.216020         0.157250       
0.026840         0.197960         0.145500       
0.015070         0.205510         0.130000       
0.227820         1.567780         0.592250       
0.387932         10.008889        3.021250       
0.406743         8.119390         2.898250       
0.359177         4.578290         2.081000       
0.333297         3.195770         1.640875       
0.300573         2.405960         1.283250       
0.263390         1.777980         0.999625       
0.248780         1.516640         0.849500       
0.216887         1.297380         0.687250       
0.197623         1.204910         0.618500       
0.131310         1.079830         0.547625       
0.244913         1.332820         0.709500       
0.293428         5.132020         1.425000       
0.286123         3.670571         1.160375       
0.315033         3.295090         1.132375       
0.297697         1.881370         0.825625       
0.281207         1.182280         0.653625       
0.254270         0.885330         0.513000       
0.223533         0.649800         0.401375       
0.204257         0.553610         0.342625       
0.133840         0.474240         0.278625       
0.082820         0.434260         0.249625       
0.049650         0.385450         0.223125       
0.027130         0.315090         0.199625       
0.024370         0.337780         0.234500       
0.016390         0.331660         0.222500       
0.016190         0.401670         0.243750       
0.011010         0.379930         0.223500       
0.007470         0.326710         0.203750       
0.004880         0.272720         0.179250       
0.003320         0.219080         0.153500       
0.003210         0.208740         0.141000       
0.007500         0.237500         0.151125       
0.249175         3.653100         1.170500       
0.497847         13.243223        4.423875       
0.440867         9.021800         3.537250       
0.545305         10.221730        4.157000       
0.569295         10.058869        4.446875       
0.647470         6.532359         3.552250       
0.529715         4.731990         2.711625       
0.450550         3.732400         2.266375       
0.372435         3.071780         1.866875       
0.311140         2.624020         1.518375       
0.256675         2.416550         1.337250       
0.250060         2.111160         1.145375       
0.153680         1.944480         1.041625       
0.091840         1.727240         0.911000       
0.058530         1.395290         0.732125       
0.043540         1.381220         0.722500       
0.028650         1.192450         0.635125       
0.021760         1.103680         0.604250       
0.016170         0.961980         0.521625       
0.012400         0.886600         0.480625       
0.010370         0.788780         0.428750       
0.008390         0.695660         0.371500       
0.004520         0.662760         0.344500       
0.003140         0.590320         0.299625       
0.002990         0.556140         0.278500       
0.002750         0.511500         0.252125       
0.002375         0.441750         0.216875       
0.002395         0.445470         0.228625       
0.002225         0.413850         0.227625       
0.002190         0.407340         0.230500       
0.001975         0.367350         0.205000       
0.001880         0.353440         0.189750       
0.001730         0.325240         0.170000       
0.001545         0.290460         0.148000       
0.001470         0.276360         0.138125       
0.001310         0.246280         0.123875       
0.001245         0.234060         0.117125       
0.001145         0.215260         0.105750       
0.000970         0.182360         0.092875       
0.001075         0.202100         0.106000       
0.000990         0.186120         0.099375       
0.001015         0.191497         0.104625       
0.001180         0.219480         0.112750       
0.001305         0.242730         0.119750       
0.001120         0.210560         0.108875       
0.000925         0.173900         0.094125       
0.000890         0.165540         0.086875       
0.001050         0.195300         0.090625       
0.000767         0.213900         0.090250       
0.000700         0.195300         0.082625       
0.021075         0.219950         0.098875       
0.184592         3.707280         0.982750       
0.205343         5.526410         1.541000       
0.215440         3.346680         1.154875       
0.207047         1.906160         0.837375       
0.195350         1.404650         0.653875       
0.179163         1.058570         0.506250       
0.159217         0.775450         0.390375       
0.150643         0.612420         0.328000       
0.134025         0.514300         0.264625       
0.084200         0.470600         0.230500       
0.049990         0.417070         0.208000       
0.028350         0.336550         0.169375       
0.019410         0.333130         0.162875       
0.011990         0.287070         0.138250       
0.007790         0.264470         0.125125       
0.005420         0.228060         0.106000       
0.004240         0.210320         0.096250       
0.003000         0.187000         0.084500       
0.002720         0.160960         0.072250       
0.001600         0.148800         0.066000       
0.001380         0.128340         0.062375       
0.001270         0.118110         0.057125       
0.000565         0.106220         0.058500       
0.000470         0.088360         0.050000       
0.016425         0.095900         0.056750       
0.040333         0.133000         0.073750       
0.031330         0.153760         0.072375       
0.017580         0.124880         0.060750       
0.010520         0.106720         0.054375       
0.006440         0.087840         0.047375       
0.003360         0.070680         0.040000       
0.002325         0.063100         0.036500       
0.001325         0.062100         0.033875       
0.001640         0.120040         0.040750       
0.000815         0.151590         0.045375       
0.000635         0.118110         0.036375       
0.000700         0.130200         0.040125       
0.000487         0.135780         0.039750       
0.000657         0.183210         0.045625       
0.000537         0.149730         0.038875       
0.000457         0.127410         0.034875       
0.000377         0.105090         0.029875       
0.000303         0.084630         0.025500       
0.000260         0.072540         0.023000       
0.000227         0.063240         0.020375       
0.000256         0.119040         0.029750       
