Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_3     43.450001       0.117750        43.802994       47.099998      
FLOW_OUT_3     15.970000       0.085275        31.722300       34.110001      
FLOW_OUT_3     23.639999       0.051200        23.807997       25.600000      
FLOW_OUT_3     40.430000       0.061000        22.692003       20.360001      
FLOW_OUT_3     57.029999       6.926052        309.478210      27.660000      
FLOW_OUT_3     72.389999       21.271675       185.133072      33.389999      
FLOW_OUT_3     61.619999       24.933800       171.786804      37.820000      
FLOW_OUT_3     77.900002       56.694199       324.800598      83.360001      
FLOW_OUT_3     173.649994      46.049324       557.778870      54.009998      
FLOW_OUT_3     415.100006      46.281158       445.859467      45.419998      
FLOW_OUT_3     277.350006      48.134819       440.131287      57.529999      
FLOW_OUT_3     73.370003       2.498000        52.078007       36.779999      
FLOW_OUT_3     10.470000       0.078967        22.031696       23.690001      
FLOW_OUT_3     13.220000       0.039400        14.656801       15.760000      
FLOW_OUT_3     10.850000       0.023140        10.875799       11.340000      
FLOW_OUT_3     23.260000       0.082875        30.829504       10.180000      
FLOW_OUT_3     129.690002      2.410510        914.407227      13.290000      
FLOW_OUT_3     138.770004      34.954037       302.955322      46.790001      
FLOW_OUT_3     201.979996      127.321335      466.852051      130.100006     
FLOW_OUT_3     155.270004      134.040329      312.052979      137.199997     
FLOW_OUT_3     448.420013      105.988754      547.014954      128.199997     
FLOW_OUT_3     459.179993      150.534790      537.881897      173.399994     
FLOW_OUT_3     226.210007      115.712334      397.140961      164.500000     
FLOW_OUT_3     59.330002       4.241485        90.911194       97.470001      
FLOW_OUT_3     16.129999       0.169600        63.091198       67.839996      
FLOW_OUT_3     4.810000        0.096260        44.760899       48.130001      
FLOW_OUT_3     16.580000       0.077700        36.518997       37.330002      
FLOW_OUT_3     62.240002       0.118900        44.230804       30.139999      
FLOW_OUT_3     256.359985      75.882103       1330.246094     122.300003     
FLOW_OUT_3     122.720001      71.291100       108.593414      80.550003      
FLOW_OUT_3     115.000000      65.022400       153.563171      79.620003      
FLOW_OUT_3     146.210007      65.863762       318.168396      67.330002      
