 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
329.299988      24.030407       308.235992      60.950001       80.589165      
72.669998       8.270170        107.709755      33.330002       41.161835      
10.330000       0.714059        31.765146       17.510000       21.034115      
2.970000        0.108400        20.379198       9.705000        11.866585      
0.720000        0.093450        17.568604       8.109000        10.284583      
3.100000        0.092300        17.398548       9.026000        10.687749      
22.889999       0.169050        21.074900       11.880000       14.517491      
36.410000       16.075701       146.617569      35.980000       46.696667      
72.680000       1.346590        141.266541      15.560000       33.135998      
66.180000       33.803974       143.456665      69.500000       66.294167      
97.110001       85.651947       501.077637      192.100006      196.216675     
150.589996      98.979019       411.989838      181.800003      181.830002     
458.170013      54.839970       343.727997      92.779999       109.873344     
423.709991      12.464025       193.405182      57.110001       67.708748      
241.699997      0.470175        57.674805       35.669998       36.548668      
43.450001       0.263250        49.227749       28.549999       29.377501      
15.970000       0.238550        44.966675       26.330000       27.278151      
23.639999       0.219300        41.338055       24.840000       25.665497      
40.430000       0.209350        39.462475       24.620001       25.014351      
57.029999       8.989010        137.077255      35.950001       47.845501      
72.389999       9.463060        72.635681       39.389999       41.659664      
61.619999       12.946100       128.626892      46.230000       56.481663      
77.900002       50.079727       222.468796      90.489998       95.241661      
173.649994      24.991838       305.001587      59.759998       84.627495      
415.100006      16.698050       195.770401      44.700001       59.335003      
277.350006      9.528550        196.474380      43.689999       58.043335      
73.370003       0.648900        40.664402       25.809999       27.299500      
10.470000       0.181600        34.231598       20.559999       21.240835      
13.220000       0.160700        30.291952       18.100000       19.040833      
10.850000       0.148550        28.001677       17.280001       18.129999      
23.260000       0.148350        28.008476       18.580000       19.048544      
129.690002      1.329529        357.663757      23.430000       64.249802      
138.770004      19.180201       173.645584      49.630001       58.902500      
201.979996      52.893459       341.357574      117.599998      121.545830     
155.270004      68.492256       237.631943      127.099998      119.584167     
448.420013      22.539850       313.940826      86.309998       101.566673     
459.179993      52.164650       340.235138      132.100006      138.639160     
226.210007      23.165300       239.478394      107.699997      112.156670     
59.330002       1.348050        84.702477       64.889999       58.822495      
16.129999       0.382950        72.186073       54.869999       47.371918      
4.810000        0.337150        63.552776       48.270000       42.320499      
16.580000       0.314950        59.462559       46.400002       41.093800      
62.240002       0.447150        56.281273       44.889999       40.206669      
256.359985      74.100853       741.279175      142.800003      199.832520     
122.720001      26.984400       103.307579      87.570000       80.345001      
115.000000      35.847252       121.545265      91.400002       86.232506      
146.210007      23.386148       173.987213      74.110001       80.755836      
225.839996      0.877650        55.145672       41.689999       41.280834      
340.769989      28.192400       363.187134      87.690002       107.844994     
326.320007      36.624001       309.571991      115.000000      127.672508     
197.050003      9.460835        163.300873      85.830002       88.600090      
31.150000       0.412500        77.756248       62.009998       51.866199      
11.440000       0.360050        67.869423       55.169998       46.254856      
19.100000       0.335050        63.156925       52.209999       44.405334      
44.599998       0.473700        59.686207       50.029999       43.267746      
50.490002       0.877950        55.352657       47.130001       42.595333      
55.730000       0.413175        52.099396       43.500000       38.731251      
69.220001       0.771150        48.582443       39.450001       38.582500      
111.110001      11.507306       180.097015      50.880001       63.311081      
155.419998      31.400450       178.037613      68.839996       71.125832      
631.669983      95.072891       576.363098      168.399994      191.949173     
255.000000      1.308435        75.804680       49.480000       50.889477      
26.420000       0.405225        50.923275       38.750000       35.555336      
17.910000       0.230100        43.442890       32.820000       29.949875      
6.510000        0.201000        37.989002       28.370001       26.412500      
17.540001       0.192250        36.335251       27.400000       25.249018      
36.080002       0.295950        37.289696       27.650000       26.302416      
52.349998       0.585150        36.766922       26.760000       25.945999      
59.099998       0.558600        34.819408       24.680000       23.782166      
55.590000       0.519900        32.407097       22.209999       23.390749      
60.889999       9.811180        143.943024      37.169998       49.297333      
88.389999       1.003200        61.529594       17.540001       24.386667      
219.330002      2.311942        210.469727      18.580000       41.343502      
134.919998      0.348563        85.513992       7.219000        17.995001      
31.590000       0.063200        11.818401       2.047000        4.890167       
14.520000       0.089006        43.672405       0.340100        8.365175       
0.420000        0.021338        7.980225        0.000000        2.165425       
2.000000        0.042188        10.518750       1.299000        3.825333       
14.250000       0.064500        12.061501       3.294000        5.729685       
58.400002       0.272625        133.768005      6.054000        21.609499      
53.360001       0.363900        44.638409       6.325000        12.273084      
52.180000       1.104041        29.867386       8.336000        12.457526      
83.910004       47.364651       541.459106      181.600006      185.618332     
305.769989      138.830429      794.363892      261.600006      287.799988     
497.130005      3.588930        121.295044      33.349998       44.122334      
184.199997      1.314386        79.792694       28.209999       37.336140      
30.969999       0.197050        36.848351       19.230000       21.811884      
4.650000        0.167250        31.275749       15.420000       18.096832      
5.040000        0.145850        27.419800       13.340000       16.001324      
5.600000        0.138650        26.066202       13.720000       15.793334      
20.709999       0.137950        26.003578       14.850000       16.302729      
38.689999       0.202125        25.440800       15.370000       17.215950      
40.400002       0.189000        23.788803       14.850000       16.405249      
48.580002       1.924718        117.944122      16.290001       31.358480      
56.580002       0.880153        42.730522       12.590000       17.827707      
57.889999       2.340145        45.366558       11.830000       17.040167      
60.840000       1.456520        71.091675       8.499000        17.316332      
13.460000       0.031414        7.706840        0.966900        4.018275       
1.590000        0.012921        3.962440        0.000000        1.548258       
2.690000        0.010404        3.190560        0.000000        1.087246       
4.980000        0.007331        3.147320        0.000000        0.724257       
2.630000        0.011828        4.352520        0.000000        1.428067       
6.330000        0.021183        6.496120        0.454200        2.735334       
19.650000       0.171750        105.339989      3.191000        16.456224      
26.809999       2.777225        56.808796       11.400000       17.085167      
29.209999       2.865102        63.824715       9.396000        16.166166      
32.029999       22.544500       225.642990      72.769997       77.772499      
111.699997      20.720482       522.396790      61.110001       104.804161     
127.099998      2.279120        121.326881      15.450000       25.811834      
23.690001       0.055700        10.248802       2.574000        5.792608       
2.260000        0.018873        5.787719        0.036800        2.623897       
0.550000        0.008298        3.053480        0.000000        1.094175       
0.270000        0.008937        2.740680        0.000000        1.113242       
0.220000        0.012759        3.997819        0.006500        2.032983       
0.770000        0.037230        7.017855        2.178000        4.449721       
10.320000       0.179150        32.963600       4.030000        8.462417       
25.840000       0.189810        89.694283       6.689000        17.242304      
30.219999       2.523070        23.100960       8.051000        10.105582      
39.669998       7.262719        196.236389      33.040001       49.514912      
70.370003       0.065181        38.584969       0.711200        5.555298       
47.970001       0.051690        31.703194       0.000000        3.614201       
13.910000       0.012007        8.100600        0.000000        0.753358       
0.350000        0.000000        0.000000        0.000000        0.000000       
0.250000        0.000000        0.000000        0.000000        0.000000       
0.200000        0.000000        0.000000        0.000000        0.000000       
0.190000        0.000000        0.000000        0.000000        0.000000       

p-factor= 0.70
r-factor= 0.89
R2= 0.33
Nash_Sutclif= 0.12


 FLOW_OUT_7
