 H-PET_1.txt
L95PPU             U95PPU         M95PPU
1.807030         1.808893         1.808583       
1.431030         1.432893         1.432583       
21.856936        21.977194        21.972998      
48.089451        49.609074        49.551586      

 H-GW_RCHG_1.txt
L95PPU             U95PPU         M95PPU
0.187020         1.129776         0.817167       
0.202875         0.930600         0.686167       
0.253740         0.954990         0.705750       
0.297380         1.677440         1.152000       
0.308930         1.604840         1.120167       
0.275965         1.394403         0.987000       
0.262490         1.291865         0.928500       
0.241870         1.156456         0.844167       
0.216190         1.003072         0.744333       
0.203925         0.941040         0.700917       
0.173580         0.844830         0.618083       
0.156495         0.810060         0.583083       
0.136290         0.748230         0.532833       
0.109207         0.621120         0.443667       
0.234303         0.896408         0.724083       
0.386815         3.235648         2.448833       
0.406740         3.620808         2.769750       
0.369185         3.139352         2.431417       
0.347490         2.906008         2.277667       
0.333570         2.598472         2.062167       
0.293635         2.252896         1.810667       
0.276220         2.085912         1.698417       
0.243260         1.809380         1.492250       
0.251055         1.680465         1.405833       
0.249565         1.526309         1.282167       
0.254190         1.652940         1.314000       
0.309955         3.272391         2.168417       
0.302238         3.067100         2.042250       
0.333017         3.194860         2.141833       
0.316792         2.784258         1.890833       
0.301262         2.577988         1.777333       
0.273297         2.305053         1.614334       
0.241093         1.997957         1.421833       
0.227020         1.850180         1.337500       
0.200257         1.605944         1.178750       
0.197350         1.489720         1.111000       
0.188190         1.350672         1.012583       
0.191045         1.138496         0.841583       
0.241985         1.174180         0.863083       
0.231415         1.052605         0.767500       
0.237170         1.012790         0.734750       
0.204795         0.910665         0.653250       
0.186565         0.874770         0.616667       
0.162250         0.815000         0.562167       
0.136800         0.733600         0.497250       
0.127360         0.704560         0.469667       
0.129190         0.634240         0.423167       
0.277845         1.258470         1.054250       
0.593790         4.280840         3.304417       
0.557490         3.873870         3.145750       
0.655010         4.871630         3.941250       
0.729450         5.407351         4.416167       
0.749700         5.009100         4.143500       
0.664340         4.343420         3.635333       
0.624765         4.020195         3.406833       
0.567825         3.594975         3.086000       
0.499225         3.119186         2.710750       
0.469955         2.888412         2.543750       
0.446600         2.533533         2.245500       
0.438500         2.394125         2.112334       
0.402340         2.222817         1.918167       
0.342645         1.870635         1.582250       
0.351470         1.926365         1.599917       
0.335635         1.731460         1.412583       
0.343675         1.680300         1.333333       
0.306800         1.527800         1.176083       
0.289335         1.481660         1.108000       
0.264255         1.389980         1.009250       
0.233695         1.263220         0.891083       
0.220305         1.225780         0.840583       
0.194895         1.113420         0.742917       
0.183550         1.080800         0.701333       
0.167725         1.009525         0.640250       
0.144120         0.887480         0.548583       
0.165887         0.893975         0.541000       
0.190055         0.805080         0.484833       
0.182920         0.781520         0.463333       
0.154560         0.709360         0.412083       
0.139500         0.687000         0.390083       
0.121298         0.644160         0.357000       
0.101967         0.584680         0.316917       
0.091908         0.567320         0.300167       
0.077592         0.514680         0.266750       
0.069532         0.499320         0.253000       
0.064690         0.468320         0.232083       
0.050745         0.397360         0.194250       
0.050045         0.414760         0.201917       
0.042535         0.376480         0.181250       
0.038415         0.365120         0.175083       
0.032950         0.331600         0.161417       
0.029845         0.322160         0.157750       
0.026560         0.301680         0.145500       
0.022170         0.273760         0.129500       
0.020080         0.266240         0.123250       
0.017720         0.242160         0.112833       
0.015630         0.234640         0.107833       
0.014405         0.219840         0.099333       
0.034516         0.192240         0.091917       
0.195240         0.966920         0.735667       
0.223507         1.902940         1.382000       
0.244217         1.763260         1.303000       
0.237395         1.535384         1.147917       
0.226570         1.421544         1.076333       
0.208512         1.271440         0.975167       
0.185343         1.102176         0.856750       
0.176757         1.020544         0.804417       
0.156835         0.885432         0.707250       
0.149362         0.819675         0.664417       
0.148687         0.735406         0.606583       
0.127840         0.608480         0.501750       
0.130968         0.627283         0.507167       
0.116577         0.563765         0.446833       
0.111443         0.540607         0.420667       
0.099113         0.486100         0.371083       
0.095015         0.469880         0.349750       
0.086842         0.440260         0.318333       
0.077595         0.400240         0.281083       
0.074527         0.388780         0.265167       
0.066303         0.352580         0.235500       
0.062500         0.343000         0.222500       
0.058115         0.321080         0.204167       
0.049875         0.283000         0.175083       
0.054860         0.286120         0.174250       
0.063643         0.263480         0.162917       
0.062583         0.255120         0.155667       
0.053470         0.232320         0.138083       
0.047455         0.224480         0.130667       
0.041395         0.211120         0.119500       
0.035283         0.191320         0.105917       
0.031267         0.185480         0.100500       
0.027340         0.168520         0.089583       
0.025295         0.163760         0.085250       
0.022175         0.153400         0.079417       
0.017860         0.130080         0.066000       
0.016965         0.135520         0.068417       
0.014800         0.123400         0.062083       
0.012770         0.119560         0.059583       
0.011605         0.108440         0.053000       
0.010575         0.105600         0.050417       
0.008500         0.099000         0.046417       
0.007365         0.089720         0.041250       
0.007320         0.086960         0.039250       
0.006200         0.078600         0.035083       
0.005185         0.076680         0.035083       
