Stname       L95PPU             U95PPU 
H-SW_1.txt        40.736366          42.685169       
H-SW_1.txt        88.549637          113.433510      
H-SW_1.txt        86.845222          107.673576      
H-SW_1.txt        83.306778          107.400826      
H-SW_1.txt        67.831345          87.797607       
H-SW_1.txt        0.072360           9.133440        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        1.622020           1.635800        
H-SW_1.txt        10.815060          10.822360       
H-SW_1.txt        14.445009          14.448685       
H-SW_1.txt        36.672943          38.906025       
H-SW_1.txt        28.213865          30.442272       
H-SW_1.txt        23.569281          25.761335       
H-SW_1.txt        21.016560          23.163889       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.002000           0.002000        
H-SW_1.txt        8.612031           8.613897        
H-SW_1.txt        25.353577          25.637922       
H-SW_1.txt        21.606031          21.794355       
H-SW_1.txt        28.508001          29.067360       
H-SW_1.txt        27.055925          27.610626       
H-SW_1.txt        47.099270          70.221367       
H-SW_1.txt        39.874439          62.137535       
H-SW_1.txt        11.218430          32.425022       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        5.908000           5.908000        
H-SW_1.txt        8.994150           9.003467        
H-SW_1.txt        29.037561          29.507423       
H-SW_1.txt        53.743404          58.055767       
H-SW_1.txt        47.893627          52.157528       
H-SW_1.txt        37.658710          41.865765       
H-SW_1.txt        39.784348          44.652187       
H-SW_1.txt        29.811722          33.957260       
H-SW_1.txt        2.411395           6.226070        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        1.807030           1.808893        
H-SW_1.txt        1.431030           1.432893        
H-SW_1.txt        21.856936          21.977194       
H-SW_1.txt        48.089451          49.609074       
H-GW_RCHG_1.txt        0.187020           1.129776        
H-GW_RCHG_1.txt        0.202875           0.930600        
