Stname           observed       L95PPU         U95PPU         Best_Sim
FLOW_OUT_3     11.440000       0.360050        67.869423       55.169998      
FLOW_OUT_3     19.100000       0.335050        63.156925       52.209999      
FLOW_OUT_3     44.599998       0.473700        59.686207       50.029999      
FLOW_OUT_3     50.490002       0.877950        55.352657       47.130001      
FLOW_OUT_3     55.730000       0.413175        52.099396       43.500000      
FLOW_OUT_3     69.220001       0.771150        48.582443       39.450001      
FLOW_OUT_3     111.110001      11.507306       180.097015      50.880001      
FLOW_OUT_3     155.419998      31.400450       178.037613      68.839996      
FLOW_OUT_3     631.669983      95.072891       576.363098      168.399994     
FLOW_OUT_3     255.000000      1.308435        75.804680       49.480000      
FLOW_OUT_3     26.420000       0.405225        50.923275       38.750000      
FLOW_OUT_3     17.910000       0.230100        43.442890       32.820000      
FLOW_OUT_3     6.510000        0.201000        37.989002       28.370001      
FLOW_OUT_3     17.540001       0.192250        36.335251       27.400000      
FLOW_OUT_3     36.080002       0.295950        37.289696       27.650000      
FLOW_OUT_3     52.349998       0.585150        36.766922       26.760000      
FLOW_OUT_3     59.099998       0.558600        34.819408       24.680000      
FLOW_OUT_3     55.590000       0.519900        32.407097       22.209999      
FLOW_OUT_3     60.889999       9.811180        143.943024      37.169998      
FLOW_OUT_3     88.389999       1.003200        61.529594       17.540001      
FLOW_OUT_3     219.330002      2.311942        210.469727      18.580000      
FLOW_OUT_3     134.919998      0.348563        85.513992       7.219000       
FLOW_OUT_3     31.590000       0.063200        11.818401       2.047000       
FLOW_OUT_3     14.520000       0.089006        43.672405       0.340100       
FLOW_OUT_3     0.420000        0.021338        7.980225        0.000000       
FLOW_OUT_3     2.000000        0.042188        10.518750       1.299000       
FLOW_OUT_3     14.250000       0.064500        12.061501       3.294000       
FLOW_OUT_3     58.400002       0.272625        133.768005      6.054000       
FLOW_OUT_3     53.360001       0.363900        44.638409       6.325000       
FLOW_OUT_3     52.180000       1.104041        29.867386       8.336000       
FLOW_OUT_3     83.910004       47.364651       541.459106      181.600006     
FLOW_OUT_3     305.769989      138.830429      794.363892      261.600006     
FLOW_OUT_3     497.130005      3.588930        121.295044      33.349998      
FLOW_OUT_3     184.199997      1.314386        79.792694       28.209999      
FLOW_OUT_3     30.969999       0.197050        36.848351       19.230000      
FLOW_OUT_3     4.650000        0.167250        31.275749       15.420000      
FLOW_OUT_3     5.040000        0.145850        27.419800       13.340000      
FLOW_OUT_3     5.600000        0.138650        26.066202       13.720000      
FLOW_OUT_3     20.709999       0.137950        26.003578       14.850000      
FLOW_OUT_3     38.689999       0.202125        25.440800       15.370000      
FLOW_OUT_3     40.400002       0.189000        23.788803       14.850000      
FLOW_OUT_3     48.580002       1.924718        117.944122      16.290001      
FLOW_OUT_3     56.580002       0.880153        42.730522       12.590000      
FLOW_OUT_3     57.889999       2.340145        45.366558       11.830000      
FLOW_OUT_3     60.840000       1.456520        71.091675       8.499000       
FLOW_OUT_3     13.460000       0.031414        7.706840        0.966900       
FLOW_OUT_3     1.590000        0.012921        3.962440        0.000000       
FLOW_OUT_3     2.690000        0.010404        3.190560        0.000000       
FLOW_OUT_3     4.980000        0.007331        3.147320        0.000000       
FLOW_OUT_3     2.630000        0.011828        4.352520        0.000000       
FLOW_OUT_3     6.330000        0.021183        6.496120        0.454200       
FLOW_OUT_3     19.650000       0.171750        105.339989      3.191000       
FLOW_OUT_3     26.809999       2.777225        56.808796       11.400000      
FLOW_OUT_3     29.209999       2.865102        63.824715       9.396000       
FLOW_OUT_3     32.029999       22.544500       225.642990      72.769997      
FLOW_OUT_3     111.699997      20.720482       522.396790      61.110001      
FLOW_OUT_3     127.099998      2.279120        121.326881      15.450000      
FLOW_OUT_3     23.690001       0.055700        10.248802       2.574000       
FLOW_OUT_3     2.260000        0.018873        5.787719        0.036800       
FLOW_OUT_3     0.550000        0.008298        3.053480        0.000000       
FLOW_OUT_3     0.270000        0.008937        2.740680        0.000000       
FLOW_OUT_3     0.220000        0.012759        3.997819        0.006500       
FLOW_OUT_3     0.770000        0.037230        7.017855        2.178000       
FLOW_OUT_3     10.320000       0.179150        32.963600       4.030000       
FLOW_OUT_3     25.840000       0.189810        89.694283       6.689000       
FLOW_OUT_3     30.219999       2.523070        23.100960       8.051000       
FLOW_OUT_3     39.669998       7.262719        196.236389      33.040001      
FLOW_OUT_3     70.370003       0.065181        38.584969       0.711200       
FLOW_OUT_3     47.970001       0.051690        31.703194       0.000000       
FLOW_OUT_3     13.910000       0.012007        8.100600        0.000000       
FLOW_OUT_3     0.350000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.250000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.200000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.190000        0.000000        0.000000        0.000000       
FLOW_OUT_7     2.080000        0.447825        54.933205       9.313000       
FLOW_OUT_7     12.510000       4.456905        21.869745       16.129999      
FLOW_OUT_7     22.180000       0.355694        16.289515       9.129000       
FLOW_OUT_7     44.610001       57.760727       315.072754      103.500000     
FLOW_OUT_7     35.090000       29.470512       377.384827      69.540001      
FLOW_OUT_7     53.520000       21.773193       238.790375      54.669998      
FLOW_OUT_7     85.519997       8.206930        87.179031       31.330000      
FLOW_OUT_7     373.470001      0.944886        32.353542       16.980000      
FLOW_OUT_7     306.000000      0.105750        19.880999       9.789000       
FLOW_OUT_7     113.190002      0.091350        17.173800       8.234000       
FLOW_OUT_7     23.120001       0.088700        16.719950       8.839000       
FLOW_OUT_7     5.820000        0.168000        20.608000       10.930000      
FLOW_OUT_7     20.209999       16.244026       146.171204      34.689999      
FLOW_OUT_7     28.910000       1.828045        82.737747       13.750000      
FLOW_OUT_7     37.340000       29.831539       83.123299       51.520000      
FLOW_OUT_7     50.110001       81.530518       408.752655      171.199997     
FLOW_OUT_7     54.509998       95.812805       406.447235      179.899994     
FLOW_OUT_7     60.209999       53.774807       300.961609      88.910004      
FLOW_OUT_7     125.029999      12.561299       180.366379      56.270000      
FLOW_OUT_7     192.000000      0.462900        56.782402       36.160000      
FLOW_OUT_7     157.570007      0.262350        49.059456       29.520000      
FLOW_OUT_7     52.119999       0.237000        44.674503       27.070000      
FLOW_OUT_7     7.700000        0.216800        40.866798       25.330000      
FLOW_OUT_7     10.060000       0.204850        38.614227       24.690001      
FLOW_OUT_7     8.250000        9.141126        136.813995      35.439999      
FLOW_OUT_7     14.400000       9.275305        59.491028       38.570000      
FLOW_OUT_7     66.620003       12.979600       118.448395      45.360001      
FLOW_OUT_7     88.949997       50.271400       208.595154      90.059998      
FLOW_OUT_7     138.669998      25.629087       250.192810      59.439999      
FLOW_OUT_7     122.690002      16.591850       178.396774      45.130001      
FLOW_OUT_7     285.640015      9.719320        173.060944      44.430000      
FLOW_OUT_7     254.139999      0.667500        41.830002       27.170000      
FLOW_OUT_7     151.619995      0.188400        35.513401       22.020000      
FLOW_OUT_7     48.040001       0.167000        31.479502       19.459999      
FLOW_OUT_7     14.620000       0.153600        28.953602       18.379999      
FLOW_OUT_7     5.410000        0.150650        28.442722       19.160000      
FLOW_OUT_7     12.660000       1.179906        276.978333      22.950001      
FLOW_OUT_7     37.650002       18.002199       149.661636      47.259998      
FLOW_OUT_7     109.150002      49.971836       290.624756      108.300003     
FLOW_OUT_7     67.889999       67.158859       211.037613      119.000000     
FLOW_OUT_7     77.660004       22.027901       262.631195      81.089996      
FLOW_OUT_7     112.949997      52.102200       328.561584      126.500000     
FLOW_OUT_7     146.029999      23.658350       231.708786      103.400002     
FLOW_OUT_7     244.229996      1.293600        81.281197       61.939999      
FLOW_OUT_7     272.320007      0.369200        69.594193       52.720001      
FLOW_OUT_7     184.839996      0.325350        61.328472       46.520000      
FLOW_OUT_7     25.330000       0.302050        57.027039       44.349998      
FLOW_OUT_7     14.940000       0.425025        53.496479       42.419998      
FLOW_OUT_7     13.710000       74.343719       658.867981      139.699997     
FLOW_OUT_7     34.990002       26.908150       101.621368      84.660004      
FLOW_OUT_7     42.610001       35.991753       118.285759      88.980003      
FLOW_OUT_7     46.639999       23.511150       169.587189      72.279999      
FLOW_OUT_7     51.619999       0.858600        53.948696       40.599998      
FLOW_OUT_7     75.379997       28.570051       338.686371      87.160004      
FLOW_OUT_7     105.970001      37.264252       309.623993      115.400002     
FLOW_OUT_7     353.000000      9.809795        164.431717      86.639999      
FLOW_OUT_7     175.979996      0.417650        78.727028       63.080002      
FLOW_OUT_7     27.830000       0.365500        68.896759       56.330002      
FLOW_OUT_7     24.930000       0.338400        63.788406       52.860001      
FLOW_OUT_7     3.530000        0.474750        59.818501       50.259998      
FLOW_OUT_7     8.890000        0.872700        55.021660       46.950001      
FLOW_OUT_7     30.360001       0.405675        51.153687       43.150002      
FLOW_OUT_7     37.720001       0.756600        47.665791       39.020000      
FLOW_OUT_7     40.000000       11.652010       179.741272      50.740002      
FLOW_OUT_7     43.650002       31.352652       155.799210      68.959999      
FLOW_OUT_7     42.340000       95.706474       549.370361      168.800003     
FLOW_OUT_7     52.340000       1.361224        67.494011       50.610001      
FLOW_OUT_7     139.320007      0.416025        52.280476       40.230000      
FLOW_OUT_7     74.980003       0.237800        44.896645       34.340000      
FLOW_OUT_7     18.090000       0.208350        39.378147       29.860001      
FLOW_OUT_7     8.580000        0.197150        37.261353       28.450001      
FLOW_OUT_7     0.320000        0.597150        37.620453       28.200001      
FLOW_OUT_7     2.390000        0.585300        36.776352       27.010000      
FLOW_OUT_7     8.920000        0.555750        34.827003       24.830000      
FLOW_OUT_7     34.740002       0.517800        32.276199       22.330000      
FLOW_OUT_7     33.070000       6.401120        81.161354       30.830000      
FLOW_OUT_7     34.290001       0.871950        53.479599       17.900000      
FLOW_OUT_7     55.840000       2.569680        210.671326      19.469999      
FLOW_OUT_7     198.839996      0.494625        60.674004       8.366000       
FLOW_OUT_7     308.329987      0.052800        13.164801       3.467000       
FLOW_OUT_7     125.529999      0.079100        14.554399       1.255000       
FLOW_OUT_7     38.580002       0.029976        9.342520        0.055700       
FLOW_OUT_7     5.960000        0.045975        11.463099       2.282000       
FLOW_OUT_7     4.310000        0.067700        12.659901       4.022000       
FLOW_OUT_7     5.180000        0.247875        121.624008      6.284000       
FLOW_OUT_7     15.410000       0.356850        43.773598       6.462000       
FLOW_OUT_7     23.180000       1.178225        28.522799       8.394000       
FLOW_OUT_7     25.400000       47.281532       448.516815      178.600006     
FLOW_OUT_7     30.809999       138.326492      735.251892      254.100006     
FLOW_OUT_7     32.810001       3.322995        97.201355       32.529999      
