.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.475	0.0049036181	-0.21333065	0.43973953	-0.36520456	5.829358	0.19382816	-0.24033122	0.18340003	1.3420246	0.38522722
q_0.48	0.0049755004	-0.21320383	0.43974109	-0.3650667	5.8346531	0.19389722	-0.24030677	0.18340003	1.3425815	0.38565337
q_0.485	0.0050457401	-0.21307644	0.43975791	-0.36492129	5.8398207	0.19396459	-0.24028149	0.18340159	1.3431275	0.38610157
q_0.49	0.0050634173	-0.21293092	0.44026283	-0.36453423	5.8409098	0.19397817	-0.24022994	0.1834532	1.3433258	0.38725552
q_0.495	0.0050815406	-0.21278585	0.44076769	-0.36415085	5.8420711	0.19399164	-0.24017863	0.18350432	1.3435273	0.38839867
q_0.5	0.0051433748	-0.21268506	0.44126639	-0.36412857	5.8503116	0.19399494	-0.24014972	0.18350789	1.3440564	0.38848249
q_0.505	0.0052052091	-0.21258426	0.44176509	-0.3641063	5.8585521	0.19399824	-0.24012081	0.18351147	1.3445855	0.38856631
q_0.51	0.0052129853	-0.21255252	0.44192562	-0.36345476	5.8697708	0.19416763	-0.23987354	0.18352252	1.3450181	0.3886669
q_0.515	0.00522021	-0.21252149	0.4420827	-0.3627968	5.8810199	0.19433873	-0.23962404	0.18353363	1.3454497	0.38876766
q_0.52	0.0052320166	-0.21247306	0.44223482	-0.3626123	5.8814146	0.19435975	-0.23961648	0.1835408	1.3461195	0.38904262
q_0.525	0.0052439665	-0.21242408	0.44238678	-0.36244259	5.8814701	0.19437609	-0.23961648	0.18354783	1.3467967	0.38932302
q_0.53	0.0055150676	-0.21240226	0.44301044	-0.36229495	5.8819073	0.19439236	-0.2390227	0.18358005	1.347592	0.38940605
q_0.535	0.0057999535	-0.21238188	0.44365919	-0.36214849	5.8823648	0.19440864	-0.23839733	0.1836136	1.3483936	0.38947859
q_0.54	0.0058261837	-0.21227172	0.44439641	-0.36210874	5.8836229	0.19443983	-0.23772165	0.18366259	1.3490543	0.39032981
