r__CN2.mgt  v__ALPHA_BF.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ESCO.hru  v__CH_N2.rte  v__CH_K2.rte  v__ALPHA_BNK.rte  r__SOL_AWC(1).sol  r__SOL_K(1).sol  r__SOL_BD(1).sol  v__SFTMP.bsn       objfun
-1.868300e-001  4.180500e-001  3.776700e+002  1.406900e+000  1.217500e-001  9.409100e-001  2.430700e-001  3.654400e+001  6.184400e-001  -1.848300e-001  -5.216400e-001  -1.227500e-001  -4.775700e+000  2.880600e+003  
-9.323500e-002  4.459500e-001  1.197300e+002  1.358300e+000  1.542300e-001  8.534400e-001  1.341100e-001  3.440700e+001  3.849800e-001  2.111100e-001  -4.160500e-001  3.623500e-001  -1.138800e+000  6.784600e+003  
1.660300e-001  5.189400e-001  3.161900e+002  6.507400e-001  6.791300e-002  8.216900e-001  6.824900e-003  4.865900e+001  5.344900e-001  1.440000e-001  -4.413400e-001  3.048200e-001  4.275400e+000  3.326400e+005  
1.400200e-001  1.109300e-001  3.951400e+002  1.037000e+000  3.998800e-002  8.281000e-001  2.973800e-001  6.228900e+001  7.906100e-002  1.628900e-001  -3.268300e-001  9.900800e-002  -3.469300e+000  8.644500e+004  
-8.350400e-002  1.329800e-002  3.595400e+002  2.275100e-001  2.952700e-003  8.444000e-001  2.359700e-001  9.365100e+001  5.267800e-001  -5.106300e-002  -1.890300e-001  5.886000e-004  -4.210100e+000  1.058200e+004  
-9.642400e-003  8.445300e-001  2.525400e+002  2.474200e-001  5.454700e-002  9.678600e-001  1.967200e-001  8.377200e+001  2.802100e-001  -1.721500e-003  -6.693100e-001  -2.197900e-001  -4.952900e+000  2.309300e+004  
1.361200e-001  9.822600e-001  3.198800e+001  1.255300e+000  7.010800e-003  9.291000e-001  1.452800e-001  8.082700e+001  1.491500e-001  3.714100e-001  4.100900e-001  -1.030100e-001  -4.186300e+000  9.484000e+004  
-1.587900e-001  4.198900e-001  2.207300e+002  2.711300e-001  4.881400e-002  9.768500e-001  4.544200e-002  7.947400e+001  9.369400e-001  1.831200e-001  4.853900e-001  -2.543900e-001  2.747100e+000  8.670800e+003  
-1.972300e-001  1.167300e-001  3.107900e+002  1.317100e+000  7.813900e-002  9.798100e-001  9.450300e-002  5.543700e+000  8.975000e-001  2.240100e-001  -3.722300e-001  5.605400e-001  2.750300e+000  3.463600e+003  
8.033500e-003  5.946300e-001  4.058000e+002  7.302700e-001  7.850100e-002  8.114700e-001  1.451800e-001  1.029900e+002  2.993500e-001  3.259000e-001  4.589200e-001  -3.684700e-001  4.705200e+000  1.815300e+004  
