Stname     observed       L95PPU         U95PPU       Best_Sim
FLOW_OUT_3.txt  2.000000       0.086107       4.630523       2.478000       
FLOW_OUT_3.txt  14.250000      0.065740       4.652552       2.478000       
FLOW_OUT_3.txt  58.400002      0.257365       4.717435       2.564000       
FLOW_OUT_3.txt  53.360001      0.184321       4.737883       2.556000       
FLOW_OUT_3.txt  52.180000      0.105012       4.755117       2.540000       
FLOW_OUT_3.txt  83.910004      3.928725       11.119548      8.950000       
FLOW_OUT_3.txt  305.769989     0.583600       5.159329       3.045000       
FLOW_OUT_3.txt  497.130005     0.303407       5.003607       2.833000       
FLOW_OUT_3.txt  184.199997     0.268245       5.034946       2.834000       
FLOW_OUT_3.txt  30.969999      0.195590       5.054485       2.819000       
FLOW_OUT_3.txt  4.650000       0.130449       5.070777       2.803000       
FLOW_OUT_3.txt  5.040000       0.122180       5.097338       2.808000       
FLOW_OUT_3.txt  5.600000       0.082402       5.117160       2.802000       
FLOW_OUT_3.txt  20.709999      0.079551       5.145009       2.810000       
FLOW_OUT_3.txt  38.689999      0.103889       5.180245       2.831000       
FLOW_OUT_3.txt  40.400002      0.087735       5.208156       2.839000       
FLOW_OUT_3.txt  48.580002      0.191384       5.259801       2.892000       
FLOW_OUT_3.txt  56.580002      0.141771       5.282719       2.893000       
FLOW_OUT_3.txt  57.889999      0.103573       5.301710       2.889000       
FLOW_OUT_3.txt  60.840000      0.142077       5.333202       2.914000       
FLOW_OUT_3.txt  13.460000      0.125272       5.351726       2.920000       
FLOW_OUT_3.txt  1.590000       0.085958       5.361300       2.914000       
FLOW_OUT_3.txt  2.690000       0.073406       5.374496       2.916000       
FLOW_OUT_3.txt  4.980000       0.076414       5.389645       2.925000       
FLOW_OUT_3.txt  2.630000       0.063118       5.402792       2.929000       
FLOW_OUT_3.txt  6.330000       0.061062       5.418543       2.937000       
FLOW_OUT_3.txt  19.650000      0.171559       5.459421       2.992000       
FLOW_OUT_3.txt  26.809999      0.120384       5.471957       2.989000       
FLOW_OUT_3.txt  29.209999      0.137189       5.495486       3.009000       
FLOW_OUT_3.txt  32.029999      0.091070       5.506483       3.005000       
FLOW_OUT_3.txt  111.699997     0.231107       5.586678       3.078000       
FLOW_OUT_3.txt  127.099998     0.433230       5.618605       3.173000       
FLOW_OUT_3.txt  23.690001      0.271140       5.606121       3.131000       
FLOW_OUT_3.txt  2.260000       0.166905       5.596491       3.101000       
FLOW_OUT_3.txt  0.550000       0.098388       5.590134       3.080000       
FLOW_OUT_3.txt  0.270000       0.072191       5.590288       3.075000       
FLOW_OUT_3.txt  0.220000       0.063350       5.596251       3.078000       
FLOW_OUT_3.txt  0.770000       0.091752       5.611193       3.097000       
FLOW_OUT_3.txt  10.320000      0.180344       5.639424       3.144000       
FLOW_OUT_3.txt  25.840000      0.213231       5.658398       3.173000       
FLOW_OUT_3.txt  30.219999      0.244156       5.680049       3.204000       
FLOW_OUT_3.txt  39.669998      0.128683       5.670617       3.176000       
FLOW_OUT_3.txt  70.370003      0.141207       5.679847       3.189000       
FLOW_OUT_3.txt  47.970001      0.163685       5.689730       3.208000       
FLOW_OUT_3.txt  13.910000      0.172357       5.694970       3.223000       
FLOW_OUT_3.txt  0.350000       0.101143       5.683766       3.205000       
FLOW_OUT_3.txt  0.250000       0.072211       5.678133       3.199000       
FLOW_OUT_3.txt  0.200000       0.061058       5.676467       3.200000       
FLOW_OUT_3.txt  0.190000       0.060628       5.677373       3.207000       
FLOW_OUT_7.txt  14.680000      0.031900       2.288832       1.493000       
FLOW_OUT_7.txt  20.129999      0.032172       2.310344       1.494000       
FLOW_OUT_7.txt  32.200001      0.032417       2.334657       1.496000       
FLOW_OUT_7.txt  44.910000      0.225774       2.391796       1.650000       
FLOW_OUT_7.txt  143.509995     0.729048       3.116197       2.236000       
FLOW_OUT_7.txt  163.289993     0.784084       3.539873       2.411000       
FLOW_OUT_7.txt  36.520000      0.049636       2.589787       1.642000       
FLOW_OUT_7.txt  6.950000       0.047687       2.610400       1.645000       
FLOW_OUT_7.txt  2.050000       0.044933       2.627197       1.642000       
FLOW_OUT_7.txt  0.550000       0.042451       2.643069       1.637000       
FLOW_OUT_7.txt  2.080000       0.040278       2.640757       1.633000       
FLOW_OUT_7.txt  12.510000      0.039275       2.664053       1.632000       
FLOW_OUT_7.txt  22.180000      0.038706       2.692051       1.635000       
FLOW_OUT_7.txt  44.610001      0.044457       2.746812       1.644000       
FLOW_OUT_7.txt  35.090000      1.957060       4.932480       3.417000       
FLOW_OUT_7.txt  53.520000      7.207862       23.638523      13.120000      
FLOW_OUT_7.txt  85.519997      1.235368       9.521630       3.121000       
FLOW_OUT_7.txt  373.470001     1.229256       9.736224       2.332000       
FLOW_OUT_7.txt  306.000000     0.052134       3.557352       2.239000       
FLOW_OUT_7.txt  113.190002     0.051699       3.587228       2.247000       
FLOW_OUT_7.txt  23.120001      0.049691       3.611393       2.248000       
FLOW_OUT_7.txt  5.820000       0.047705       3.634625       2.248000       
FLOW_OUT_7.txt  20.209999      0.046022       3.659748       2.248000       
FLOW_OUT_7.txt  28.910000      0.044520       3.687685       2.249000       
FLOW_OUT_7.txt  37.340000      0.043673       3.719402       2.251000       
FLOW_OUT_7.txt  50.110001      0.044953       3.754063       2.258000       
FLOW_OUT_7.txt  54.509998      0.044223       3.790461       2.265000       
FLOW_OUT_7.txt  60.209999      0.045791       3.825140       2.273000       
FLOW_OUT_7.txt  125.029999     0.050300       3.885244       2.289000       
FLOW_OUT_7.txt  192.000000     0.052301       3.898458       2.302000       
FLOW_OUT_7.txt  157.570007     0.056226       3.935160       2.315000       
FLOW_OUT_7.txt  52.119999      0.056734       3.965099       2.325000       
FLOW_OUT_7.txt  7.700000       0.054383       3.991112       2.328000       
