.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.38	-0.072268083	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.385	-0.072187102	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.39	-0.072106121	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.395	-0.07202514	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.4	-0.071944159	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.405	-0.071863178	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.41	-0.071782197	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.415	-0.071701216	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.42	-0.071620236	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.425	-0.071539255	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.43	-0.071458274	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.435	-0.071377293	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.44	-0.071296312	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.445	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.45	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.455	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.46	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.465	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.47	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.475	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.48	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.485	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.49	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.495	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.5	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.505	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.51	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.515	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.52	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.525	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.53	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.535	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.54	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.545	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.55	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.555	-0.071224329	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.56	-0.071224329	-0.25978046	0.47928277	-0.41381816	6.0628492	0.20991214	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.565	-0.071224329	-0.25975936	0.47931259	-0.41327056	6.0628492	0.20999273	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.57	-0.071224329	-0.25973826	0.47934241	-0.41272295	6.0628492	0.21007332	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.575	-0.071224329	-0.25971716	0.47937223	-0.41217535	6.0628492	0.21015391	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.58	-0.071224329	-0.25969606	0.47940205	-0.41162774	6.0628492	0.2102345	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.585	-0.071224329	-0.25967496	0.47943186	-0.41108014	6.0628492	0.21031509	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.59	-0.071224329	-0.25965386	0.47946168	-0.41053254	6.0628492	0.21039568	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.595	-0.071224329	-0.25963276	0.4794915	-0.40998493	6.0628492	0.21047627	-0.23796107	0.17171421	1.0448781	0.40102791
